correlation,k1,k2,top_X_percent,probability
-0.1,250,6,0.12,1.0
-0.1,250,6,0.13,1.0
-0.1,250,6,0.14,1.0
-0.1,250,7,0.01,0.0001
-0.1,250,7,0.02,0.032
-0.1,250,7,0.03,0.2036
-0.1,250,7,0.04,0.5079
-0.1,250,7,0.05,0.763
-0.1,250,7,0.060000000000000005,0.9142
-0.1,250,7,0.06999999999999999,0.9739
-0.1,250,7,0.08,0.9911
-0.1,250,7,0.09,0.9983
-0.1,250,7,0.09999999999999999,0.9997
-0.1,250,7,0.11,1.0
-0.1,250,7,0.12,1.0
-0.1,250,7,0.13,1.0
-0.1,250,7,0.14,1.0
-0.1,250,8,0.01,0.0
-0.1,250,8,0.02,0.0086
-0.1,250,8,0.03,0.106
-0.1,250,8,0.04,0.3535
-0.1,250,8,0.05,0.6299
-0.1,250,8,0.060000000000000005,0.842
-0.1,250,8,0.06999999999999999,0.9448
-0.1,250,8,0.08,0.9817
-0.1,250,8,0.09,0.9954
-0.1,250,8,0.09999999999999999,0.999
-0.1,250,8,0.11,0.9999
-0.1,250,8,0.12,0.9999
-0.1,250,8,0.13,1.0
-0.1,250,8,0.14,1.0
-0.1,300,3,0.01,0.2601
-0.1,300,3,0.02,0.7609
-0.1,300,3,0.03,0.9477
-0.1,300,3,0.04,0.9923
-0.1,300,3,0.05,0.9985
-0.1,300,3,0.060000000000000005,0.9999
-0.1,300,3,0.06999999999999999,1.0
-0.1,300,3,0.08,1.0
-0.1,300,3,0.09,1.0
-0.1,300,3,0.09999999999999999,1.0
-0.1,300,3,0.11,1.0
-0.1,300,3,0.12,1.0
-0.1,300,3,0.13,1.0
-0.1,300,3,0.14,1.0
-0.1,300,4,0.01,0.0946
-0.1,300,4,0.02,0.5504
-0.1,300,4,0.03,0.8656
-0.1,300,4,0.04,0.9744
-0.1,300,4,0.05,0.9951
-0.1,300,4,0.060000000000000005,0.9994
-0.1,300,4,0.06999999999999999,0.9999
-0.1,300,4,0.08,1.0
-0.1,300,4,0.09,1.0
-0.1,300,4,0.09999999999999999,1.0
-0.1,300,4,0.11,1.0
-0.1,300,4,0.12,1.0
-0.1,300,4,0.13,1.0
-0.1,300,4,0.14,1.0
-0.1,300,5,0.01,0.0275
-0.1,300,5,0.02,0.3449
-0.1,300,5,0.03,0.7327
-0.1,300,5,0.04,0.9313
-0.1,300,5,0.05,0.984
-0.1,300,5,0.060000000000000005,0.9977
-0.1,300,5,0.06999999999999999,0.9998
-0.1,300,5,0.08,0.9999
-0.1,300,5,0.09,1.0
-0.1,300,5,0.09999999999999999,1.0
-0.1,300,5,0.11,1.0
-0.1,300,5,0.12,1.0
-0.1,300,5,0.13,1.0
-0.1,300,5,0.14,1.0
-0.1,300,6,0.01,0.0062
-0.1,300,6,0.02,0.1849
-0.1,300,6,0.03,0.5621
-0.1,300,6,0.04,0.8536
-0.1,300,6,0.05,0.9588
-0.1,300,6,0.060000000000000005,0.9923
-0.1,300,6,0.06999999999999999,0.9991
-0.1,300,6,0.08,0.9999
-0.1,300,6,0.09,1.0
-0.1,300,6,0.09999999999999999,1.0
-0.1,300,6,0.11,1.0
-0.1,300,6,0.12,1.0
-0.1,300,6,0.13,1.0
-0.1,300,6,0.14,1.0
-0.1,300,7,0.01,0.001
-0.1,300,7,0.02,0.0848
-0.1,300,7,0.03,0.3837
-0.1,300,7,0.04,0.7398
-0.1,300,7,0.05,0.915
-0.1,300,7,0.060000000000000005,0.9815
-0.1,300,7,0.06999999999999999,0.9977
-0.1,300,7,0.08,0.9996
-0.1,300,7,0.09,1.0
-0.1,300,7,0.09999999999999999,1.0
-0.1,300,7,0.11,1.0
-0.1,300,7,0.12,1.0
-0.1,300,7,0.13,1.0
-0.1,300,7,0.14,1.0
-0.1,300,8,0.01,0.0001
-0.1,300,8,0.02,0.0343
-0.1,300,8,0.03,0.2428
-0.1,300,8,0.04,0.5903
-0.1,300,8,0.05,0.842
-0.1,300,8,0.060000000000000005,0.9588
-0.1,300,8,0.06999999999999999,0.9906
-0.1,300,8,0.08,0.9981
-0.1,300,8,0.09,0.9997
-0.1,300,8,0.09999999999999999,1.0
-0.1,300,8,0.11,1.0
-0.1,300,8,0.12,1.0
-0.1,300,8,0.13,1.0
-0.1,300,8,0.14,1.0
-0.1,350,3,0.01,0.3598
-0.1,350,3,0.02,0.8598
