correlation,k1,k2,top_X_percent,probability
0.0,150,2,0.060000000000000005,0.9991
0.0,150,2,0.06999999999999999,0.9997
0.0,150,2,0.08,0.9999
0.0,150,2,0.09,1.0
0.0,150,2,0.09999999999999999,1.0
0.0,150,3,0.01,0.1681
0.0,150,3,0.02,0.5894
0.0,150,3,0.03,0.8343
0.0,150,3,0.04,0.9451
0.0,150,3,0.05,0.9852
0.0,150,3,0.060000000000000005,0.9955
0.0,150,3,0.06999999999999999,0.9986
0.0,150,3,0.08,0.9996
0.0,150,3,0.09,0.9999
0.0,150,3,0.09999999999999999,0.9999
0.0,150,4,0.01,0.0495
0.0,150,4,0.02,0.3447
0.0,150,4,0.03,0.6569
0.0,150,4,0.04,0.8606
0.0,150,4,0.05,0.9494
0.0,150,4,0.060000000000000005,0.9828
0.0,150,4,0.06999999999999999,0.9946
0.0,150,4,0.08,0.998
0.0,150,4,0.09,0.9993
0.0,150,4,0.09999999999999999,0.9997
0.0,150,5,0.01,0.0121
0.0,150,5,0.02,0.1675
0.0,150,5,0.03,0.46
0.0,150,5,0.04,0.7271
0.0,150,5,0.05,0.8765
0.0,150,5,0.060000000000000005,0.9542
0.0,150,5,0.06999999999999999,0.9846
0.0,150,5,0.08,0.9946
0.0,150,5,0.09,0.9976
0.0,150,5,0.09999999999999999,0.9992
0.0,150,6,0.01,0.0023
0.0,150,6,0.02,0.0693
0.0,150,6,0.03,0.2789
0.0,150,6,0.04,0.557
0.0,150,6,0.05,0.7639
0.0,150,6,0.060000000000000005,0.8987
0.0,150,6,0.06999999999999999,0.9596
0.0,150,6,0.08,0.9853
0.0,150,6,0.09,0.9942
0.0,150,6,0.09999999999999999,0.9979
0.0,250,1,0.01,0.9264
0.0,250,1,0.02,0.9952
0.0,250,1,0.03,0.9994
0.0,250,1,0.04,0.9999
0.0,250,1,0.05,1.0
0.0,250,1,0.060000000000000005,1.0
0.0,250,1,0.06999999999999999,1.0
0.0,250,1,0.08,1.0
0.0,250,1,0.09,1.0
0.0,250,1,0.09999999999999999,1.0
0.0,250,2,0.01,0.7238
0.0,250,2,0.02,0.9688
0.0,250,2,0.03,0.9963
0.0,250,2,0.04,0.9997
0.0,250,2,0.05,1.0
0.0,250,2,0.060000000000000005,1.0
0.0,250,2,0.06999999999999999,1.0
0.0,250,2,0.08,1.0
0.0,250,2,0.09,1.0
0.0,250,2,0.09999999999999999,1.0
0.0,250,3,0.01,0.4445
0.0,250,3,0.02,0.8962
0.0,250,3,0.03,0.9834
0.0,250,3,0.04,0.9977
0.0,250,3,0.05,0.9999
0.0,250,3,0.060000000000000005,1.0
0.0,250,3,0.06999999999999999,1.0
0.0,250,3,0.08,1.0
0.0,250,3,0.09,1.0
0.0,250,3,0.09999999999999999,1.0
0.0,250,4,0.01,0.2089
0.0,250,4,0.02,0.7588
0.0,250,4,0.03,0.9493
0.0,250,4,0.04,0.9932
0.0,250,4,0.05,0.9992
0.0,250,4,0.060000000000000005,1.0
0.0,250,4,0.06999999999999999,1.0
0.0,250,4,0.08,1.0
0.0,250,4,0.09,1.0
0.0,250,4,0.09999999999999999,1.0
0.0,250,5,0.01,0.0798
0.0,250,5,0.02,0.5764
0.0,250,5,0.03,0.882
0.0,250,5,0.04,0.9778
0.0,250,5,0.05,0.9963
0.0,250,5,0.060000000000000005,0.9994
0.0,250,5,0.06999999999999999,1.0
0.0,250,5,0.08,1.0
0.0,250,5,0.09,1.0
0.0,250,5,0.09999999999999999,1.0
0.0,250,6,0.01,0.0253
0.0,250,6,0.02,0.3782
0.0,250,6,0.03,0.7683
0.0,250,6,0.04,0.9469
0.0,250,6,0.05,0.9907
0.0,250,6,0.060000000000000005,0.9984
0.0,250,6,0.06999999999999999,0.9998
0.0,250,6,0.08,1.0
0.0,250,6,0.09,1.0
0.0,250,6,0.09999999999999999,1.0
0.0,350,1,0.01,0.9779
0.0,350,1,0.02,0.9996
0.0,350,1,0.03,1.0
0.0,350,1,0.04,1.0
0.0,350,1,0.05,1.0
0.0,350,1,0.060000000000000005,1.0
0.0,350,1,0.06999999999999999,1.0
0.0,350,1,0.08,1.0
0.0,350,1,0.09,1.0
0.0,350,1,0.09999999999999999,1.0
0.0,350,2,0.01,0.8824
0.0,350,2,0.02,0.997
0.0,350,2,0.03,0.9999
0.0,350,2,0.04,1.0
0.0,350,2,0.05,1.0
0.0,350,2,0.060000000000000005,1.0
0.0,350,2,0.06999999999999999,1.0
0.0,350,2,0.08,1.0
0.0,350,2,0.09,1.0
0.0,350,2,0.09999999999999999,1.0
0.0,350,3,0.01,0.6909
0.0,350,3,0.02,0.981
0.0,350,3,0.03,0.9996
0.0,350,3,0.04,1.0
0.0,350,3,0.05,1.0
0.0,350,3,0.060000000000000005,1.0
0.0,350,3,0.06999999999999999,1.0
0.0,350,3,0.08,1.0
0.0,350,3,0.09,1.0
0.0,350,3,0.09999999999999999,1.0
0.0,350,4,0.01,0.4409
0.0,350,4,0.02,0.9395
0.0,350,4,0.03,0.9962
0.0,350,4,0.04,0.9997
0.0,350,4,0.05,1.0
0.0,350,4,0.060000000000000005,1.0
0.0,350,4,0.06999999999999999,1.0
0.0,350,4,0.08,1.0
0.0,350,4,0.09,1.0
0.0,350,4,0.09999999999999999,1.0
0.0,350,5,0.01,0.2293
0.0,350,5,0.02,0.8578
0.0,350,5,0.03,0.986
0.0,350,5,0.04,0.9992
0.0,350,5,0.05,1.0
0.0,350,5,0.060000000000000005,1.0
0.0,350,5,0.06999999999999999,1.0
0.0,350,5,0.08,1.0
0.0,350,5,0.09,1.0
0.0,350,5,0.09999999999999999,1.0
0.0,350,6,0.01,0.1015
0.0,350,6,0.02,0.727
0.0,350,6,0.03,0.9615
0.0,350,6,0.04,0.9974
0.0,350,6,0.05,0.9999
0.0,350,6,0.060000000000000005,1.0
0.0,350,6,0.06999999999999999,1.0
0.0,350,6,0.08,1.0
0.0,350,6,0.09,1.0
0.0,350,6,0.09999999999999999,1.0
0.0,450,1,0.01,0.9942
0.0,450,1,0.02,0.9999
0.0,450,1,0.03,1.0
0.0,450,1,0.04,1.0
0.0,450,1,0.05,1.0
0.0,450,1,0.060000000000000005,1.0
0.0,450,1,0.06999999999999999,1.0
0.0,450,1,0.08,1.0
0.0,450,1,0.09,1.0
0.0,450,1,0.09999999999999999,1.0
